	left_context	named_entities	right_context
912	шизофрению. Еще в 1948 году	Фрида Фромм-Рейхман 	произнесла знаменитую фразу Мать провоцирующая шизофрению
913	требований double bind предложенной антропологом	Грегори Бейтсоном 	в 1956 году развитию шизофрении способствуют
914	при Цюрихском университете был учителем	Карла Юнга и тесно общался с Зигмундом Фрейдом . По его мнению при шизофрении происходила потеря связи между разными функциями сознания. Из-за этого мысли становятся бессвязными утрачивается координация между эмоциональными познавательными и волевыми процессами и в конечном итоге они становятся слабыми и неэффективными. В общей сложности Блейлер работал с 647 пациентами с диагнозом шизофрения. Он полагал что существует ядерная симптоматика этой болезни связанная с собственно течением заболевания и вторичная - реакции пациента на само заболевание обстановку и свое ближайшее окружение. В этом он радикально расходился с Крепелином . По факту к вторичным симптомам Блейлер относил все то что Крепелин считал главными диагностическими признаками бред галлюцинации ухудшение мыслительных способностей в целом. Блейлер предложил иную диагностическую модель. По его мнению диагноз шизофрения можно поставить даже в том случае если у пациента никогда не было бреда или галлюцинаций. Следовательно к гебефренической кататонической и параноидальной формам шизофрении необходимо добавить латентную и простую шизофрению. На курсах психиатрии в университете его модель диагностики называют 5А иногда 4А или 6А Блейлера так как главные ядерные симптомы шизофрении это апатия безразличность и безучастие к происходящему вокруг абулия безволие потеря воли и желаний аутизм отсутствие социальных контактов дефицит общения замкнутость в себе амбивалентность одновременное присутствие взаимоисключающих эмоций или идей ассоциативные размышления мышление перескакивает с одного объекта на другой через малозначительные ассоциации аномальная аффективность странные или притупленные эмоциональные реакции . Блейлер был поборником разговорной психотерапии активно использовал психоанализ и развивал идею уденотерапии гласящей что часто естественное течение заболевания если ему не мешать может привести к излечению. В настоящее время под шизофренией понимают полиморфное психическое расстройство или группу психических расстройств связанных с распадом процессов мышления и эмоциональных реакций. А основной диагностической моделью является разделение на позитивные симптомы бред слуховые галлюцинации или голоса субъективное ощущение больного что его тело захвачено потусторонней силой или сущностью а мысли надиктовываются извне ЦРУ МОССАДОМ инопланетянами и т.д. дезорганизованная речь мышление и поведение кататония. И негативные симптомы уплощение эмоций и обеднение эмоциональной жизни бедность и бессвязность речи не способность к целенаправленным действиям и поведению не способность получать удовольствие и радость. Главная проблемаРазногласия между Крепелином и Блейлером наметили главное противоречие в понимании шизофрении. И заключается оно в надежности диагнозов. Так концепцию Блейлера неоднократно подвергали критике в связи с впрочем признаваемой им самим невозможностью чётко определить симптоматику течение исход и этиологию общие для всех расстройств которые он объединял в рамках понятия шизофрения . С точки зрения Блейлера пути протекания клинические проявления и исход этих расстройств чрезвычайно разнообразны. Психофармаколог Пол Янссен даже как-то пошутил по этому поводу Этиология шизофрении это сам доктор Блейлер . В то же время Крепелин всегда считал что шизофрения это болезнь для которой при правильном поиске должен быть обнаружен ощутимый физический маркер нарушений который лежит в ее основе. При отсутствии подтверждения при помощи конкретного физиологического маркера определение шизофрении остается в каком-то смысле произвольным. И действительно не так давно была высказана гипотеза что различия Крепелина между маниакально-депрессивными нарушениями и шизофренией не оправданы и существуют лучшие шансы найти нейронные маркеры для объединённого понятия психоза. Возможно что тогда будет предложена диагностическая схема которая отделит природу заболевания от его проявлений более точно. Когда нейронные и генные маркеры будут выявлены исход и реакции на лечение можно будет точно предсказать. Пока же об этом остается только мечтать. Для постановки диагноза шизофрении стандартным требованием является исключение органических повреждений мозга интоксикации психоактивными веществами соматических патологий которые могут обусловливать развитие симптоматики сходной с таковой при шизофрении. Означает ли это что психозы носят исключительно функциональный характер и не могут иметь нейрофизиологической основы Очевидно нет. Чтобы понять что такое шизофрения надо в первую очередь выяснить какие изменения в функционировании головного мозга возникают в период предшествующий первым ее манифестациям наблюдаются на разных стадиях заболевания и в конце жизни пациента. Необходимо определить их генетические предикторы и спусковые механизмы ответственные за актуализацию болезни. Роль генетикиГенетические исследования показывают что риск заболеть шизофренией в общей популяции не более одного процента. У родственников больного шизофренией вероятность заболеть гораздо выше причем риск пропорционально возрастает для тех из них кто генетически наиболее близок к больному. Так для его племянника или дяди риск развития заболевания в тот или иной период на протяжении жизни составляет около двух процентов вдвое выше чем в общей популяции а для однояйцевого близнеца генетически идентичного больному риск приближается к 50 процентам.Исследования лиц усыновленных удочеренных в раннем детстве обнаруживают что повышенный риск шизофрении среди родственников тех кто страдает этой болезнью обусловлен скорее наследственностью чем средой. Один и тот же повышенный уровень частоты случаев данного расстройства наблюдается среди детей больных шизофренией независимо оттого воспитываются они своим биологическим родителем страдающим шизофренией или растут в приемной семье. Тем не менее до сих пор ряд клинических психологов продолжает оспаривать генетические корни заболевания. Например Джей Джозеф в книге The Gene Illusion оспаривает валидность экспериментов на близнецах однако эта точка зрения маргинальна и почти не поддерживается другими клиницистами. Множество психогенетических работ последних десятилетий нанесли сокрушительный удар по господствовавшим в середине XX века представлениям о шизофреногенных семьях и матерях и коммуникативным теориям шизофрении. Вопреки представлению широко распространенному среди специалистов вплоть до 70-х годов прошлого века и все еще пропагандируемому популярными изданиями на сегодня нет никаких научных данных которые бы подтверждали что такие факторы как отклонения в ролевых взаимоотношениях или нарушенное общение в семье либо неадекватное родительское воспитание способны вызвать шизофрению. Еще в 1948 году Фрида Фромм-Рейхман произнесла знаменитую фразу Мать провоцирующая шизофрению . Тогда же психоаналитики выдвинули предположение о том что матери придерживающиеся холодной и отстраненной манеры воспитания ребенка тем самым фактически культивируют у него шизофрению. Другие психологи видели причину в расколе расщеплении во взаимоотношениях между родителями и в неадекватных сбивающих с толку паттернах общения в семье. Согласно теории двойственных несовместимых требований double bind предложенной антропологом Грегори Бейтсоном в 1956 году развитию шизофрении способствуют противоречивые родительские указания при невозможности для ребенка избежать подобных ситуаций. Такого рода теории хоть и снискавшие признание у широкой публики не выдержали адекватной научной проверки прежде всего методами психогенетики. И хотя специфические особенности общения и взаимоотношений действительно выявлены в семьях людей с шизофренией они скорее являются следствием психологических отклонений у психически больного члена семьи нежели их причиной. Интересная теория была выдвинута о связи возраста родителей детей-шизофреников генетических мутаций и устойчивости уровня заболеваний шизофренией во всей популяции. Израильские генетики на выборке в 87 907 человек рожденных с 1964 по 1976 годы обнаружили что возраст отца является критическим фактором для возникновения шизофрении у его потомков. Чем старше отец тем большее количество мутаций в генах его сперматозоидов. Так у детей чьим отцам на момент зачатия было больше 50 лет риск возникновения шизофрении был в три раза выше чем у детей молодых родителей. Это может объяснить почему несмотря на то что больные шизофренией редко женятся и заводят детей тем не менее эпидемиологический уровень заболеваемости шизофренией остается относительно стабильным. Спустя восемь лет в США на выборке в 25 025 человек а также посредством мета-анализа 9 других исследований приведенные выше цифры были уточнены риск заболевания у потомков отцов старше 50 лет по сравнению с молодыми папами колебался между значениями в 1 46 и 3 37 раза. Наконец в прошлом году газета The New York Times так подытожила новейшую проверку этой теории По сравнению с детьми родившимися от отцов в возрасте от 20-24 года их же отпрыски но родившиеся после того как им исполнилось 45 имеют в два раза большие шансы развития психозов и более чем в три раза аутизма . График значимости генетических маркеров шизофрении распределенный по всем хромосомам человека. То что шизофрения возникает не в результате поломки какого-то одного гена а является полигенным заболеванием было признано еще в 2002 году. В настоящий момент генетики посредством полногеномного поиска ассоциаций genome-wide association study обнаружили более сотни генетических маркеров шизофрении. Но это к сожалению пока никак не приблизило современную медицину к созданию надежного диагностического теста применимого в клинической практике. С 2009 года ряд независимых работ показал что в возникновение шизофрении вовлечены от десяти до тысячи разных генов которые по всей видимости сложным образом взаимодействуют друг с другом приводя в результате к развитию заболевания. Недавнее крупнейшее исследование связало максимальный риск развития шизофрении с маркером из 6 хромосомы хотя в целом можно сказать что сотни таких маркеров размазаны тонким слоем по всему геному.Собственно трудность в определении генетических маркеров связана как с полигенной природой шизофрении так и с расплывчатыми диагностическими критериями. Некоторые психиатры например широко известный Карл Леонгард 	утверждают что в настоящий момент можно
915	нейрофизиологии В 1972 году невролог	Фред Плам 	назвал шизофрению кладбищем для невропатологов в
916	выявлены в 1910-1915 годах. Невропатолог	Эрнест Саузард 	показал что у шизофреников при посмертном
917	тяжелыми нейролептиками. В 1986 году	Нэнси Андреасен 	с помощью структурной магнитно-резонансной томографии доказала
918	публикацией дабы не портить старику	Ойгену 	день рождения
919	1831 года отмечали день рождения	Джеймса Максвелла 	выдающегося физика и математика XIX века.
920	Его изобрел в 1878 году	Томас Эдисон 	.Конструкция первого фонографа была очень простой
921	Несмотря на это говорящая машина	Эдисона 	произвела в свое время настоящий фурор.В
922	время настоящий фурор.В 1887 году	Эмиль Берлинер 	изобрел свой фонограф который назвал граммофоном.
923	микрофон был включен.Прибор был создан	Дэвидом Хьюзом 	в 1877 году. Кстати угольные микрофоны
924	передающий текущие котировки акций. Изобретен	Томасом Эдисоном 	в 1869 году. Специальная пишущая машинка
925	но впервые его устройство описал	Клод Пулье 	в 1837 году.Принцип работы прибора заключался
926	7 мая 1895 день когда	Александр Попов 	продемонстрировал его законченный вариант стал днем
927	. Ученые под руководством доктора	Кун Тана 	из Шанхайского биологического института утверждают что
928	Ученые под руководством доктора Кун	Тана 	из Шанхайского биологического института утверждают что
929	пользу. Астрономы во главе с	Рене Эллером 	René Heller из Университета МакМастера выложили
930	во главе с Рене Эллером	René Heller 	из Университета МакМастера выложили соответствующий препринт
931	вот в 2010 году группа	Кевина Уолша 	выдвинула гипотезу которая объясняла и отсутствие
932	Grand Tack Hypothesis . По	Уолшу 	когда Солнечной системе было от 1
933	пользу. Астрономы во главе с	Рене Эллеро	м René Heller из Университета МакМастера
934	Астрономы во главе с Рене	Эллеро	м René Heller из Университета МакМастера
935	Согласно гипотезе 	Великого 	лавирования когда-то давно Юпитер путешествовал по
936	Ганимедом и Каллисто которые группа	Эллера 	надеется получить от европейского космического аппарата
937	литературы доктор филологических наук профессор	Олег Викторович Творогов 	. Творогов родился 11 октября 1928
938	лишним лет. В 1961 году	Творогова 	приняли младшим научным сотрудником в Институт
939	этой работе он познакомился с	Дмитрием Лихачевым 	и впоследствии они совместно готовили научные
940	Слова в дискуссии с историком	Александром Зиминым 	который считал его подделкой XVIII века
941	текст из Слова . Сомнения	Зимина 	в подлинности Слова о полку Игореве
942	от наиболее известного ритмического перевода	Лихачева 	тоже безусловно научного но все же
943	и как позже подметил историк	Игорь Данилевский 	подозрительно походила на историю обнаружения узелковой
944	очевидна специалистам с самого начала	Лихачеву 	чтобы определить ее в свое время
945	мастерской лучшего оптика своего времени	Джованни Амичи 	который среди прочего изобрел иммерсионную микроскопию
946	по Италии уроженец Постдама Эрнст	Геккель 	приобрел во Флоренции мощный микроскоп. Инструмент
947	в Королевском Техническом Университете Швеция	Стивен Хокинг 	рассказал о новой идее которая по
948	следующей статье в соавторстве с	Малькомом Пэрри 	и Эндрю Строминджером . В ней
949	соавторстве с Малькомом Пэрри и	Эндрю Строминджером 	. В ней он опишет свою
950	Института Теоретической и Экспериментальной Физики	Эмиль Ахмедов 	. N 1 Начать хотелось бы
951	и массы. А у излучения	Хокинга 	можно сказать нет источника. Точнее его
952	такого излучения еще до Хокинга	Владимир Наумович Грибов 	. Однако Хокинг получил его спектр.
953	Королевском Техническом Университете Швеция Стивен	Хокинг 	рассказал о новой идее которая по
954	я понимаю принадлежит нобелевскому лауреату	Джарерду т'Хоофту 	. У него правда было скорее
955	в этом научное сообщество причисляет	Хуану Малдацене 	из Принстона. Он предсказал так называемую
956	1 Когда я смотрел доклад		можно сказать нет источника. Точнее его
957	соавторстве с Малькомом Пэрри и	Эндрю Строминджером . В ней он опишет свою идею подробнее. Однако проблема потери информации существует уже достаточно давно и для того чтобы понять о чем же идет речь в докладе физика необходимо пройти путь от самого начала. В этом нам помог доктор физико-математических наук ведущий научный сотрудник Института Теоретической и Экспериментальной Физики Эмиль Ахмедов . N 1 Начать хотелось бы прежде всего с черных дыр обладателей целого ряда экзотических свойств. Так например они притягивают к себе материю настолько сильно что даже свет не может покинуть пределов некоторой их окрестности. С чем это связано почему именно они оказались такими выделяющимися Э.А. Сразу хочу подчеркнуть что я принадлежу к той части научного сообщества которая считает что никакого парадокса с потерей информации нет. На мой взгляд этот парадокс формулируется со столь низкой степенью строгости и при таком числе грубых предположений что с такой же степенью строгости я могу его и опровергнуть. Другое дело что многие детали разных процессов которые происходят в присутствии черных дыр остаются неясными. И для той части научного сообщества которая считает что парадокс есть его решение является так сказать путеводной звездой в познании природы черных дыр. Так часто бывает в науке что имеются разные точки зрения на пока еще плохо понятый предмет. Чтобы объяснить почему большинство ученых считают что есть какой-то парадокс нужно дать несколько комментариев. В школе проходят что электромагнитные волны бывают разной частоты. Если начать с самых низких частот то это будут радиоволны потом если увеличить частоту это будет инфракрасное излучение потом если еще увеличивать мы получим волны из видимого светового спектра. Далее за пределами видимого спектра будут ультрафиолетовое излучение дальше идут рентгеновские волны а еще дальше гамма-излучение. Если мы поставим источник излучения на некотором расстоянии от какого-либо массивного объекта и будем следить за испускаемым им светом на большом расстоянии от центра гравитации то мы увидим так называемое инфракрасное смещение. То есть наблюдаемая частота излучения вдалеке от гравитирующего тела будет несколько ниже излученной в его окрестности. Причина этого очень простая. Дело все в том что энергия фотонов электромагнитных волн прямо пропорциональна их частоте. Фотон инфракрасного света имеет энергию меньше чем фотон ультрафиолетового излучения. Электромагнитная волна по мере того как преодолевает гравитационное притяжение совершает работу соответственно теряет энергию а ее частота понижается. Для такого тела как Земля этот эффект достаточно слабый по сравнению с какой-нибудь звездой. Если последняя при этом обладает небольшими размерами и большой массой например если это будет нейтронная звезда то величина инфракрасного смещения может быть достаточно большой. В свою очередь для черной дыры это явление достигает экстремума в следующем смысле. Специфика черной дыры заключается в том что у нее есть так называемый горизонт событий такая поверхность с которой любое излучение претерпевает бесконечное инфракрасное смещение. То есть если источник излучения находится прямо на горизонте то создаваемое им поле вы видите не меняющимся во времени излучения нет. Горизонт - это как раз та поверхность из пределов которой свет не может вылететь наружу. Черные дыры устроены так что они создают исключительно стационарные поля даже если они вращаются вокруг своей оси при условии что их центр масс покоится. Создаваемые ими гравитационные и электромагнитные поля не будут меняться во времени. Это утверждение называется теоремой об отсутствии волос у черной дыры . N 1 То есть условно на поверхности черных дыр не бывает протуберанцев Э.А. То что вы называете поверхностью это горизонт событий. Может быть не совсем корректно называть это поверхностью чего либо. Сама материя черных дыр сосредоточена в их сердцевине под горизонтом. Вот у этой материи вероятно есть такая поверхность как корона звезды где бывают протуберанцы. Представьте себе что на этом горизонте или под ним находится какой-то протуберанец. Любое движение на горизонте снаружи создает стационарное не меняющееся во времени поле. Для звезд это не так. Они могут создавать вокруг себя например переменные во времени магнитные поля даже если их центр тяжести покоится. Это происходит из-за того что заряды внутри звезды совершают различные движения создавая излучение. Но черная дыра ничего такого не создает даже если у нее под горизонтом происходит страшное движение зарядов. О чем все эти наблюдения говорят Поставим мысленный эксперимент у вас есть облако стульев и облако телевизоров. Что-то начало в какой-то момент сжимать эти облака если их массы и моменты вращения были одинаковы то в результате мы получим две черные дыры абсолютно неотличимые друг от друга. Это то что нам говорит классическая теория гравитации. Однако откуда мы знаем обо всем этом Все описанные явления являются следствиями общей теории относительности ОТО . На данный момент она многократно проверена экспериментально начиная от движения искусственных спутников Земли и работы GPS и ГЛОНАСС и заканчивая теми явлениями которые мы наблюдаем в звездных системах в телескоп. На данный момент ученые не нашли ни одного противоречия с ОТО. Это позволяет говорить что скорее всего она применима во всех ситуациях когда гравитационные поля не слишком большие. У нас нет веских причин думать иначе. N 1 Но ведь черная дыра как раз и может считаться таким исключением ее гравитация не выпускает даже свет Э.А. Дело в том что сила гравитационного поля определяется величиной приливных сил. Если у вас есть тело некоторого размера то приливной силой называется разность притяжения различных концов этого тела к гравитационному центру. В черной дыре приливные силы огромны только в окрестности ее середины в так называемой сингулярности. Там где сосредоточена вся ее масса. Если черная дыра имеет большую массу то у нее большой радиус горизонта и он соответственно находится далеко от сингулярности окружая ее. Тогда на горизонте приливные силы совсем не велики. Они могут быть вообще сколь угодно малыми. Так вот ОТО теряет свою применимость только в окрестности сингулярности. Поэтому если ОТО не нарушается из-за какого-то неизвестного нам явления а у нас пока нет причин это подозревать то мы способны просчитать и предсказать все явления происходящие достаточно далеко от сингулярности. В частности на горизонте событий. Благодаря этому мы и можем ставить такие мысленные эксперименты как были описаны выше хотя настоящей проверки они пока не получили. Более того нечто похожее уже наблюдали в других ситуациях например у нейтронных звезд. Конечно у них гравитационные поля слабее чем в черных дырах но уже близки к ним. N 1 Пусть вопрос немного в сторону но все же интересно а что именно наблюдали у нейтронных звезд Э.А. Нейтронные звезды вращаются вокруг своей оси и вокруг других звезд. Тем самым они создают различные электромагнитные и гравитационные поля. Мы с Земли наблюдаем соответствующие этому излучения. В частности мы видим как в некоторых системах две вращающиеся друг вокруг друга звезды постепенно оказываются все ближе и ближе друг к другу теряя момент вращения так словно бы они испускают гравитационные волны что количественно согласуется с ОТО. Подчеркну что сами гравитационные волны мы пока не видим а вот результат их излучения потерю энергии в двойной звездной системе наблюдаем достаточно давно. N 1 Очень интересно Но вернемся к нашим черным дырам из телевизоров и стульев. Э.А. Стивен Хокинг в начале 70-х годов установил что черная дыра должна испускать излучение. Оно имеет принципиально другую природу по сравнению с тем классическим излучением о котором мы говорили выше. Оно появляется когда мы включаем в рассмотрение квантовые эффекты. У того излучения которое обсуждалось выше есть источники движущиеся заряды и массы. А у излучения Хокинга можно сказать нет источника. Точнее его рождает сама черная дыра как целое. Излучение Хокинга не является результатом никакого движения зарядов. Это излучение возникает в результате изменения свойств вакуума в результате формирования черной дыры. Если заряды и массы рождают только электромагнитные и гравитационные волны то в результате квантового излучения Хокинга может идти рождение электронов позитронов протонов и других частиц. Кстати предсказал наличие такого излучения еще до Хокинга Владимир Наумович Грибов . Однако Хокинг получил его спектр. Итак при рождении черных дыр возникают дополнительные явления. Черные дыры начинают рождать различные частицы в своей окрестности. В силу тех свойств черных дыр которые я описал соответствующее излучение будет очень специфическим. Во-первых оно будет стационарным то есть будет очень медленно меняться во времени если черная дыра будет достаточно медленно терять свою массу рождая частицы. Более того излучение Хокинга имеет термальный спектр. То есть черная дыра будет излучать как обычный нагретый до какой-то температуры источник форма такого спектра характеризуется исключительно величиной температуры. Причем температура будет обратно пропорциональна ее массе то есть чем больше дыра тем она холоднее . Эта температура очень маленькая для черной дыры с массой Солнца она составит какие-то десятимиллионные доли кельвина. Надежды измерить соответствующее ей излучение в обозримом будущем невелики. Когда черная дыра излучает ее масса уменьшается это следует из соответствия энергии и массы знаменитой формулы E mc2 а температура при этом растет. Важной особенностью температурного спектра является то что все характеристики частиц кроме массы и заряда излучаются с одинаковой вероятностью. Грубо говоря например любая нейтральная частица и фотон с той же энергией излучаются с одинаковой вероятностью. Теперь мы готовы к тому чтобы сформулировать в чем же заключается информационный парадокс. Представьте себе что у вас есть два знакомых нам облака. Одно состоящее из телевизоров а другое из стульев. Представим себе что что-то сформировало из них две звезды телевизионную и стульевую . А потом эти звезды в результате своего горения какую-то часть своей массы излучили а что-то осталось в виде холодного шара. Теоретически по остаткам эволюции звезд мы можем проследить назад историю каждой элементарной частицы входившей в состав стульев и телевизоров. И если мы соберем вместе весь результат эволюции каждой из звезд отдельно то сможем сказать остатками какой звезды это были телевизионной или стульевой . Конечно технически это безумно сложная задача но тут речь идет лишь о принципиальной возможности. Разница в случае с черными дырами заключается в том что мы во-первых вроде как не можем отличить две черные дыры телевизионную и стульевую как было объяснено выше. Во-вторых температурное излучение без источников не несет никакой информации о составе черной дыры. Таким образом по остаткам эволюции черных дыр мы казалось бы принципиально не способны восстановить их происхождение. Получается что информация куда-то уходит и мы ее больше не контролируем. N 1 А что плохого в потере информации Э.А. В таком случае наука теряет свою предсказательную силу. Если информация теряется то в присутствии черной дыры мы не можем предсказать результат никакой реакции. Например провели мы эксперимент типа Большого Адронного Коллайдера рассеяли частицы посмотрели что вылетело и установили что было причиной и какие процессы происходили. В присутствии черной дыры так сделать нельзя вы не можете контролировать что ничего не влетело в нее и потерялось или же не вылетело из нее. Получается что в присутствии черных дыр принципиально нельзя создать замкнутой системыМатематически это говорит о том что некоторый объект называемый S-матрицей становится неунитарным. Этот математический объект описывает закон по которому система переходит из одного состояния в другое при взаимодействиях Если S-матрица неунитарна то в принципе у вас из ничего могут появляться объекты например из ничего может появиться стул. В черной дыре конечно буквально такого не произойдет. За счет присутствия черной дыры S-матрица не настолько неунитарна и стулья возникать из ничего не будут. Однако может появиться или исчезнуть в никуда какое-нибудь квантовое число которое в отсутствии черной дыры сохранялось. N 1 То есть она вносит какие-то искажения которые влияют на результат Э.А. Сила науки заключается в том что она может предсказывать явления говоря что если вы сделаете так-то и так-то то вы получите такой-то результат с такой-то точностью. И проверить тот или иной эксперимент может любой другой ученый. Получается что если информация теряется то в присутствии черной дыры всё. Так видят ситуацию те люди которые считают что информация действительно теряется. Но даже если потери информации нет то действительно интересно как в деталях восстановить полностью все процессы в присутствии черных дыр. N 1 Я читал о том что уже существуют решения парадокса что-то связанное с голограммой. Э.А. Идея как я понимаю принадлежит нобелевскому лауреату Джарерду т'Хоофту . У него правда было скорее философское утверждение но не было на мой взгляд никакого строгого вычисления. В такой ситуации не понятно что проверять. Однако потом появилась некоторая конкретная реализация этого голографического принципа. Заслугу в этом научное сообщество причисляет Хуану Малдацене из Принстона. Он предсказал так называемую голографическую дуальность или AdS CFT соответствие. Изначально она была сформулирована как эквивалентность теории супергравитации в пространстве анти-де-Ситтера размерности 4 1 четыре пространственные координаты и время и суперконформной теории Янга-Миллса на границе пространства анти-де-Ситтера размерности 3 1 . Затем эта дуальность нашла свои обобщения и на другие размерности пространства-времени. Небольшое лирическое отступление. Не углубляясь в подробности хочется отметить главное это решение работает только если мы живем в антидеситтеровском пространстве или пространстве с отрицательной кривизной. Что это значит Четырехмерное пространство-время в котором мы существуем обладает довольно сложными свойствами. С точки зрения общей теории относительности и геометрии оно представляет собой пространство Минковского в котором есть световые конусы и аналогичные им непривычные нашему видению объекты. Именно в пространстве Минковского реализуются специальная и общая теория относительности. Но попробуем заморозить наше пространство в некоторый момент времени. Правда для начала немного упростим нашу задачу и представим себе что мы живем в плоском мире в котором есть два измерения длина и ширина например и время. В самом простом случае нулевой кривизны мы получим классическую евклидову геометрию на плоскости ту которую мы изучали в школе. Прямые в ней являются прямыми а кратчайшее расстояние между двумя точкам отрезок такой прямой. К тому же в ней выполняется так называемый пятый постулат через точку можно провести лишь одну прямую параллельную данной. Но если кривизна нашего пространства отлична от нуля то мы получим более сложный результат. В замороженном пространстве отрезки соединяющие точки превратятся в дуги окружностей. Прямые тоже станут дугами концы которых лежат на некоем абсолюте его можно представить себе в виде окружности. И пожалуй самое необычное в этом пространстве нарушится пятый постулат. Мы получим геометрию Лобачевского параллельные прямые в которой могут пересекаться на абсолюте. Такой результат будет как при положительной так и при отрицательной кривизне. В чем же разница Проиллюстрировать это можно так. Представьте себе что наше пространство резиновая пленка например оболочка воздушного шарика. В случае нулевой кривизны оно будет плоским. Гипотетическая капля помещенная на его поверхность будет покоиться. При положительной кривизне пленка словно бы выгибается вверх капля будет скатываться вбок при отрицательной капля будет стремиться к центру пленки. Идея голографического принципа заключается в следующем. Горизонт событий это фактически некоторая граница. В присутствии любой границы в теории гравитации возникают дополнительные степени свободы и дополнительные динамические переменные. Это значит что на горизонте происходит какая-то динамика. Голографический принцип утверждает что если вы знаете все о динамике на горизонте то вы способны восстановить и динамику внутри черной дыры. Как в настоящей голограмме на двумерном экране вы видите всю трехмерную картину. Также и наоборот все что происходит внутри черной дыры отражается на горизонте событий. Как это реализуется математически строго мне остается неясным. N 1 А что же нового предложил Хокинг Э.А. Хокинг в своей статье утверждает что они разобрались с тем как каждый акт излучения отражается на горизонте событий черной дыры. Он пишет что используя голографический принцип можно описать детали процесса формирования излучения черных дыр. N 1 Когда я смотрел доклад Стивена Хокинга он упомянул о том что его осенило когда он слушал лекцию Эндрю Строминджера 	Э.А. Строминджер человек который занимается изучением
