	index	left_context	left_word	named_entity	right_context
1160	1698	критических замечаний опубликовано в нашей	нашей	Р. Нигматулин	Р. Лэхи Р. Талейархан Р. Блок
1161	941	действительно так утверждали но не	не	Лэйнг	. На самом деле Лэйнг не
1162	536	еще в 1952 году небезызвестный	небезызвестный	Вернер фон Браун	опубликовал книгу Das Marsprojekt в которой
1163	1234	повторяющиеся ливни и серое небо.	небо.	Коттингем	подготовил телескоп надеясь что тепло не
1164	1594	нейрофизиологии В 1972 году невролог	невролог	Фред Плам	назвал шизофрению кладбищем для невропатологов в
1165	672	его левая рука Английского невролога	невролога	Генри Хэда	очень интересовали последствия повреждений периферических нервов.
1166	1563	за двадцать лет до него	него	Кальбаум	говорил о психозах с постоянными неменяющимися
1167	2004	развития. Но как отметила недавно	недавно	Аннели Невиц	страх перед демографическим взрывом в основном
1168	1180	свое уравнение. Через три недели	недели	Эйнштейн	решил отказаться от нового закона всемирного
1169	463	марта 1773 года. Через неделю	неделю	Парижская	академия наук решила принять его в
1170	2063	ноября 1889 года. На ней	ней	Берлинер	рассказывает о процессе записи приезжему гостю
1171	657	у экспертов. В частности нейробиолог	нейробиолог	Дин Бернетт	Dean Burnett в своем блоге в
1172	1818	удалось. В 1972 году нейрофизиолог	нейрофизиолог	Фред Плам	в отчаянии написал Шизофрения кладбище невропатологов
1173	644	пресс-конференции в Вене итальянский нейрохирург	нейрохирург	Серджио Канаверо	Sergio Canavero . Канаверо говорит о
1174	104	технологии совместно с профессором нейрохирургии	нейрохирургии	Джейми Хендерсоном	.
1175	1141	К европейцам . В нем	нем	Эйнштейн	с горсткой коллег отмежевывались от Манифеста
1176	1348	идет оживленная дискуссия. Например неокатастрофист	неокатастрофист	М. Бентон	из Бристоля опубликовал в 2003 году
1177	1140	большая его часть была неправдой.	неправдой.	Эйнштейна	происходящее шокировало. Будучи пацифистом и интернационалистом
1178	1328	никакого смысла кроме потенциальных неприятностей.	неприятностей.	Денис Альтман	указывает на тенденцию преобразования политики геев
1179	1037	для оптимизма никаких оснований нет.	нет.	Леви-Стросс	великий антрополог сказал XXI век будет
1180	70	Судебная реформа успехи и неудачи	неудачи	Александр Аузан	Экономические основания гражданских институтов Симон Кордонский
1181	1044	туда где издержки значительно ниже	ниже	Лукас	отвечал самому себе другим столь же
1182	1266	ученым все еще существовала но	но	Эйнштейна	она не касалась. Стало широко известно
1183	376	с другими студентами будущими нобелиатами	нобелиатами	Эрнестом Резерфордом	Чарльзом Вильсоном будущим докторантом Пьера Кюри
1184	368	петербуржец Лев Клейн и новгородец	новгородец	Владимир Конецкий	заявили что найдено отнюдь не капище
1185	828	и неприятие всех этих новшеств.	новшеств.	Фидлер	описывал различные пути выхода из таких
1186	400	тех пяти человек которые номинировали	номинировали	Ричардсона	в 1929 году трое были теми
1187	939	страдание и конечно не норма.	норма.	Лэйнга	иногда неправильно трактуют будто он называл
1188	580	в мозге человека своего носителя.	носителя.	Докинз	делает неожиданный вывод об эволюции человеческого
1189	1764	на работу в разных носках.	носках.	Белл	шутил что если наблюдателю виден только
1190	1765	наблюдателю виден только один носок	носок	Бертлмана	и он розовый то про второй
1191	839	довольно большой исследовательский проект о	о	Владимире Соловьеве	. Пять лет мы исследовали его
1192	870	самое можно сказать и о	о	Кропоткине	представляет собой яркое подтверждение тому что
1193	841	организовали большую международную конференцию о	о	Соловьеве	это было в 1998 году и
1194	728	хотя бы раз слышал о	о	Стивене Хокинге	потому что жизнь этого человека и
1195	2070	Совсем недавно мы рассказывали о	о	Патрике Фистере	и его истории об архивной находке
1196	212	время сказал Альберт Эйнштейн о	о	Максе Планке	. Таких жрецов единицы и Виталий
1197	194	развития Вселенной рассказал Indicator.Ru о	о	Виталии Лазаревиче	. При чтении биографии Виталия Лазаревича
1198	889	английской церкви написал книгу о	о	Булгакове	. На известного датского католика Ганса
1199	428	трав. Впоследствии Филибер отзывался о	о	Вольтере	как о человеке с хитрым взглядом
1200	337	в виде диалогов работу о	о	Евклиде	учения которого уже начали ставить под
1201	1696	одной журналистки раскрутила скандальные обвинения	обвинения	Рузи Талейархана	в фальсификациях. Причем только против него
1202	1691	лично вы относитесь к обвинениям	обвинениям	Талейархана	в фальсификации результатов научной работы Рузи
1203	1099	пересматривая концепции из своего обзора	обзора	Эйнштейн	понял что развить их дальше поможет
1204	636	можно прочитать в недавнем обзоре	обзоре	Джастина Хоури	. Получается что сила вызванная действием
1205	254	открытием атмосферного давления. Этой областью	областью	Торричелли	заинтересовался с подачи Галилея и достиг
1206	1237	небе не было ни облачка.	облачка.	Эддингтон	телеграфировал Фрэнку Дайсону Через облака. Надеюсь
1207	1103	одной планетой тут не обойтись.	обойтись.	Эйнштейн	предложил простую проверку с применением более
1208	1970	около 50 килограммов научного оборудования.	оборудования.	Находящийся	на орбите TGO будет служить ретранслятором
1209	420	во Франции . Высшее образование	образование	Коммерсон	получил на медицинском факультете Университета Монпелье
1210	233	мог дать ему хорошее образование.	образование.	Торричелли	учился в иезуитском колледже потом в
1211	932	от давления Других. Таким образом	образом	Лэйнг	осуществил то что даже сам Ясперс
1212	451	тех же местах. Собирали образцы	образцы	Коммерсон	и Баре среди снегов и льдов
1213	342	единственное решение проблемы старых обсерваторий.	обсерваторий.	Геннадий Валявин	Кандидат физико-математических наук старший научный сотрудник
1214	1250	Эйнштейна . Президент Королевского общества	общества	Джозеф Джон Томсон	отозвался об измерениях так Это самый
1215	706	воздухе. В качестве модельного объекта	объекта	Баркрофт	разумеется выбрал себя. В стеклянной камере
1216	654	мертвым мозгом... Дата будет объявлена	объявлена	Сяопином	в следующие несколько дней заявил Канаверо
1217	34	взрывологии полифилия стала расхожим объяснением.	объяснением.	Гарри Уиттингтон	считал что разные типы членистоногих из
1218	757	виде нулей и единиц объясняет	объясняет	Максим Архангельский	. А программа автоматически выстраивала роды
1219	2064	Louis Rosenthal который как объясняет	объясняет	Берлинер	должен был забрать звукозапись с собой
1220	37	его предварительной проверкой я обязан	обязан	Саймону Конвею Моррису	такая вводная фраза типична для Удивительной
1221	1068	другие теоретики экономического роста обязан	обязан	Джекобс	и предсказал что ее идеи в
1222	1707	по их расчетам только один	один	Владимир Зворыкин	изобретатель телевидения вывез в своей голове
1223	1100	тут нам и пригодится озарение	озарение	Эйнштейна	о природе силы тяжести. Мы испытываем
1224	1912	оксид углерода II и озон.	озон.	Для	большинства соединений предел чувствительности составляет 100
1225	1666	Беседовал Владимир Королёв В октябре	октябре	Эмиль Ахмедов	прочитает в культурно-просветительском центре Архэ курс
1226	596	и не ощущаем их опасности.	опасности.	Блэкмор	настаивает мемы и т-мемы это репликаторы
1227	1193	создалось впечатление что Гильберт опередил	опередил	Эйнштейна	. Несколько недель после доклада отношения
1228	1605	но впервые его устройство описал	описал	Клод Пулье	в 1837 году.Принцип работы прибора заключался
1229	1337	делали работницы на фабрике описанной	описанной	Рут Кавендиш	. Мы с удивлением узнали что
1230	1324	студентов и фабричных рабочих описанных	описанных	Кавендиш	показывает роль свободного времени и материальных
1231	1007	. Широкой популярностью пользуется определение	определение	Майкла Франклина	из Университета в Беркли в частности
1232	1909	Среди веществ которые способен определять	определять	Trace	Gas Orbi er есть также вода
1233	1747	названый в честь немецкого оптика	оптика	Эрнста Аббе	открывшего это явление еще в 1873
1234	1283	наше время исследователь процессов опустынивания	опустынивания	Хорст Г. Меншинг	пишет как о доказанном факте что
1235	257	чаше. С помощью своего опыта	опыта	Торричелли	экспериментальным путем открыл атмосферное давление давление
1236	256	успехов. В своем знаменитом опыте	опыте	Торричелли	использовал ртуть запаянную с одного конца
1237	1474	словно намеренно проектирует строение организмов.	организмов.	Докинз	так активно отстаивал свое мнение по
1238	2022	от человеческой. На этом основании	основании	Свенте Паабо	сделал предположение что неандертальцы и люди
1239	1027	теории высших психических функций основанной	основанной	Л.С. Выготским	он первым оценил роль среды формирующей
1240	1191	гравитационных взаимодействий. И независимо от	от	Эйнштейна	пришел к тем же самым гравитационным
1241	892	Шмиттом эта позиция перенимается от	от	Гоббса	. Но в целом и она
1242	1112	характер этого движения требовали от	от	Эйнштейна	выхода за пределы обычной геометрии. Гроссман
1243	346	стране По крайней мере отец	отец	Алексей Иванович Абрикосов	был действительно лучшим. Организатор и председатель
1244	1449	пути в науку Мой отец	отец	Давид Альбертович Франк-Каменецкий	был крупным ученым физиком астрофизиком физикохимиком.
1245	259	из углекислого газа кстати открытая	открытая	Ломоносовым	самое крупное астрономическое открытие сделанное в
1246	21	1974 году за это открытие	открытие	Э. Хьюишу	была присуждена Нобелевская премия по физике.
1247	1673	Pieter Roelofs считает что открытие	открытие	Грейзенхаута	важно во-первых для понимания Вермеера как
1248	1464	действием этого простого процесса открытого	открытого	Чарльзом Дарвином	. Но только отбор направлен не
1249	1497	не все элементы были открыты.	открыты.	Менделеев	попытался учесть это поэтому в получившейся
1250	1982	машинного перевода. Но как отметил	отметил	Москитти	сложные задачи семантического анализа требуют новых
1251	1395	стоит в первую очередь отметить	отметить	Т. Парсонса	А. Шюца П. Уинча Г. Гарфинкеля
1252	296	и ротового аппарата. Как отмечает	отмечает	Майкл Катерино	новый жук подтвердил многие высказанные ранее
1253	771	химические вещества созданные человеком отмечает	отмечает	Румак	. Ученый несколько лет исследовал влияние
1254	319	возрождении мира в целом отмечает	отмечает	Константин Гаврилов	. Впервые такая находка была сделана
1255	1184	Праге. Готовая общая теория относительности	относительности	Эйнштейна	предлагала совершенно новый подход к пониманию
1256	1258	проверив новую общую теорию относительности	относительности	Эйнштейна	он превратился в пророка новой физики.
1257	1755	Ему посвящена общая теория относительности	относительности	Эйнштейна	. Сильное ядерное взаимодействие стабилизирует ядра
1258	1124	попытке обобщить свою теорию относительности	относительности	Эйнштейн	был вынужден приступить к ее освоению.
1259	144	ней сразу же положительно отозвался	отозвался	Тумас Транстремер	нобелевский лауреат по литературе 2011 года.
1260	1058	приходят новые компании и отрасли.	отрасли.	Шумпетер	не отрицал постепенной эволюции но призывал
1261	1339	публикации в 1958 году отчета	отчета	Вольфендена	в Великобритании был достигнут посредством альянса
1262	1835	безуспешной. В одном из отчетов	отчетов	Ломоносов	писал что сделал проект со стихами
1263	776	сказал Пукалов. В свою очередь	очередь	Петросян	напомнил что проекту строительства мусоросжигающих заводов
1264	1951	Марс можно прочитать в очерке	очерке	Тарелка	идет на посадку . Во время
1265	1670	лирическое волнение . В очерке	очерке	Алпатова	говорится что художник написал свой собственный
1266	1028	Большевик письмо о некоторых ошибках	ошибках	Энгельса	. Сталин в 1939 году перечитывая
1267	1031	перечитывая Энгельса нашел такую ошибку.	ошибку.	Энгельс	пишет Россией обычно правят авантюристы иностранного
1268	1106	счастливым Эйнштейн себя не ощущал.	ощущал.	Непосредственно	перед прибытием в Прагу родился его
1269	1304	было опубликовано выдающимся российским палеоботаником	палеоботаником	М.Д. Залесским	под названием Taibia tyrganensis Zalessky. Описанный
1270	316	из бивня мамонта фигурку палеолитической	палеолитической	Венеры	. О находке сообщает пресс-релиз института.
1271	206	он останется в Вашей памяти	памяти	Виталий Лазаревич	для меня пример настоящего ученого а
1272	1433	университета специалиста по культурной памяти	памяти	Алейды Ассман	посвященный влиянию национальной памяти на адаптацию
1273	531	форм расизма в мейнстримовых партиях.	партиях.	Неудивительно	что расистские партии представляют собой полезных
1274	720	и создатель первого антибиотика пенициллина	пенициллина	Александр Флеминг	в свое время совершил настоящий прорыв
1275	1629	от наиболее известного ритмического перевода	перевода	Лихачева	тоже безусловно научного но все же
1276	861	его сочинений в немецком переводе.	переводе.	Сергей Булгаков	тоже переводится Флоренский почти полностью переведен
1277	862	переводе. Сергей Булгаков тоже переводится	переводится	Флоренский	почти полностью переведен готовятся к переводу
1278	863	полностью переведен готовятся к переводу	переводу	Степун	и Иван Ильин . Так что
1279	877	и педагогов. Интересна история переписки	переписки	Мамардашвили	и Альтюссера . В прошлом году
1280	1401	подход развил и значительно переработал	переработал	Питер Уинч	. Некоторые социальные теоретики в недавнем
1281	1030	Сталин в 1939 году перечитывая	перечитывая	Энгельса	нашел такую ошибку. Энгельс пишет Россией
1282	367	Впрочем позже другие археологи петербуржец	петербуржец	Лев Клейн	и новгородец Владимир Конецкий заявили что
1283	1883	горными породами оливином или пироксеном.	пироксеном.	Также	молекулы метана могут образоваться под действием
1284	940	высшим видом здоровья так писал	писал	А.М. Руткевич	или утверждал что между безумием и
1285	456	подарки. Коммерсон рассказывал в письмах	письмах	Лалланду	что чувствовал себя словно гостям Эдемского
1286	1071	своем получившем широкое хождение письме	письме	Лукас	добавлял что идеи Джекобс были настолько
1287	1975	специалист по римскому курсивному письму	письму	Роджер Томлин	. Блумбергские таблички очень важны для
1288	936	классическую эпоху . Как пишет	пишет	Фуко	безумию никогда не давали своего голоса
1289	945	по курсу . Как пишет	пишет	Лэйнг	в другом месте Эго должно ощущать
1290	1075	на жилье о которых пишет	пишет	Лукас	. Таким образом районы и люди
1291	994	тканей человека - поделился планами	планами	Дмитрий Сахаров	.
1292	2005	культурной глобализацией по всей планете.	планете.	Невиц	также указывает на еще один интересный
1293	1470	понять жизнь на нашеи планете.	планете.	Ричард Докинз	предположил что жизнь где бы она
1294	1955	также измерит электрическое поле планеты.	планеты.	Ученые	рассчитывают что сопоставление данных о пыли
1295	650	соглашаются комментировать эксперименты и планы	планы	Канаверо	крайне скептически отзываются о них. Теперь
1296	1242	в дополнение к шестнадцати пластинам	пластинам	Эддингтона	и Коттингема . В восторге они
1297	1947	на Марс в районе плато	плато	Меридиана	немного южнее марсианского экватора. Основная цель
1298	1966	планету будет спущена посадочная платформа	платформа	Surface	Scie ce Pla form которая сама
1299	443	транспорте Звезда на нем плыл	плыл	Коммерсон	и фрегате Ворчунья на котором путешествовал
1300	1092	мегарегионов полностью подчиняющемся распределению по	по	Ципфу	если в наименьшем из них живет
1301	1971	служить ретранслятором сигналов с поверхности	поверхности	Марса	до 2023 года.
1302	1954	содержании пыли. Оказавшись на поверхности	поверхности	Марса	он также измерит электрическое поле планеты.
1303	1885	например из падающих на поверхность	поверхность	Марса	частиц комет . Наконец метан мог
1304	1939	до одного метра под поверхностью	поверхностью	Марса	. Приборы ACS и FREND разработаны
1305	1862	высоте 400 километров над поверхностью	поверхностью	Марса	аппарат TGO займется поисками мест где
1306	874	Италии на семиотику существенно повлиял	повлиял	Борис Успенский	. Михаил Бахтин сильно повлиял на
1307	883	и на католическое богословие повлияли	повлияли	Булгаков	и Франк . Влияние Булгакова на
1308	512	подносили им фрукты и подарки.	подарки.	Коммерсон	рассказывал в письмах Лалланду что чувствовал
1309	411	зоне просвещения очень важна подача.	подача.	Маркова	Попова и иже с ними будут
1310	255	областью Торричелли заинтересовался с подачи	подачи	Галилея	и достиг в ней значительных успехов.
1311	2012	как распознать разумность машины подвигла	подвигла	Алана Тьюринга	на создание его знаменитого теста в
1312	340	мыслями на этот счет поделился	поделился	Геннадий Валявин	кандидат физико-математический наук старший научный сотрудник
1313	567	заставили критиков потребовать доказательств подлинности.	подлинности.	Макферсон	уклонился от публикации оригиналов и только
1314	1847	в наших очерках Генетика подтверждает	подтверждает	Геродота	Гены в Новом Свете и Генетическая
1315	1570	достаточно условно можно обозначить подход	подход	Крепелина	как невропатологический а Блейлера как психологический
1316	922	Тем более она мало подходила	подходила	Лэйнгу	в объяснении причин тяжелых шизофренических расстройств
1317	1155	в одной из таких поездок	поездок	Эддингтон	узнал о новых взглядах Эйнштейна на
1318	107	шутят подыгрывают. Даже совсем пожилой	пожилой	Рой Глаубер	Roy Glauber американский физик лауреат Нобелевской
1319	372	И со стипендией которая позволила	позволила	Ричардсону	не просто учиться а учиться и
1320	141	компании рогатых. Свой опыт позднее	позднее	Твейтс	описал в книге Человек-козел . Как
1321	1404	дальнейшем я буду называть позицию	позицию	Уинча	и его последователей интенционализмом. Два подхода
1322	891	как экстремист. Это крайняя позиция.	позиция.	Шмиттом	эта позиция перенимается от Гоббса .
1323	1760	Последовательно стоявший на детерминистских позициях	позициях	Эйнштейн	отказывался считать эту ситуацию чем-то большим
1324	1065	Джейн говорит Так было пока	пока	Лукас	не вернул в рассматриваемую нами картину
1325	1385	до середины 1990-х годов пока	пока	М. Таненхаус	и его коллеги из Университета Рочестера
1326	1168	его коллег Герман Минковский показал	показал	Эйнштейну	как при помощи знаний которые Эйнштейн
1327	1544	на предмет впервые было показано	показано	Джеймсом Максвеллом	в 1873 году. Давление возникает из-за
1328	897	мире. Однако как было показано	показано	Питером Шором	квантовые компьютеры дают ускорение в решении
1329	112	тромбоцитов. Как было недавно показано	показано	Михаилом Пантелеевым	с коллегами из МГУ им. М.В.
1330	1334	на категориальной теории. Как показывает	показывает	Эстер Айзенстайн	это быстро привело к ложному универсализму
1331	1485	от анахронистического и ненаучного поклонения	поклонения	Дарвину	. Автор письма по-видимому рассуждал следующим
1332	577	копируют на протяжении многих поколений.	поколений.	Докинз	подчеркивает что копии мемов должны быть
1333	1743	которых ориентированы в магнитном поле.	поле.	Экспериментально	их существование было подтверждено совсем недавно
1334	1376	Сойсал американский социолог и политолог	политолог	Гарри Фриман	предлагает схему которая синтезирует культурно ориентированные
1335	1665	сравнению с лидирующим эффектом полученным	полученным	Хокингом	. Беседовал Владимир Королёв В октябре
1336	351	даже в сильных магнитных полях.	полях.	Абрикосов	сумел показать что магнитное поле в
1337	784	психологи. Сегодня пожалуй немногие помнят	помнят	Курта Левина	но зато перечисляют классифицированные им стили
1338	923	взрослых людей. Однако ядро понимания	понимания	Лэйнг	взял все-таки через Винникотта у Кляйн
1339	1048	чем десять булавочников работающих поодиночке	поодиночке	Смит	показал что специализация необходима для успеха
1340	860	признан и пользуется некой популярностью.	популярностью.	Не	так давно закончили издание собрания его
1341	1119	область математики что даже порекомендовавший	порекомендовавший	Эйнштейну	обратить внимание в эту сторону Гроссман
1342	590	мема и механизма его порождения.	порождения.	Дойч	уверен что мемы не могут порождаться
1343	1251	полученный в теории тяготения после	после	Ньютона	. Он добавил Если таким образом
1344	1387	парадигмой Визуальный мир Первый после	после	Купера	Cooper 1974 психолингвистический эксперимент с использованием
1345	1415	. Второй лагерь представлен последователями	последователями	Витгенштейна	которые унаследовали анти-каузалистский пафос работ Бейкера
1346	1379	населения . Опираясь на построения	построения	Фримана	позволим себе следующую компиляцию. Здесь трудно
1347	1796	мозга не мог объяснить почему	почему	Эйнштейн	обладал такими необычайными способностями. Сандра Вителсон
1348	1502	быстрее отделялся от металла поэтому	поэтому	Агрикола	и назвал минерал флюоритом что в
1349	1147	к заведениям высшего эшелона поэтому	поэтому	Эддингтон	сразу оказался в компании гениальных ученых.
1350	315	и лизоциме водорастворимый белок пояснил	пояснил	Алексей Власов	сотрудник Лаборатории перспективных исследований мембранных белков
1351	99	быть измерены современной электроникой пояснил	пояснил	Лихачев	. Потенциальное применение такого метода измерения
1352	98	и его легче измерять пояснил	пояснил	Лихачев	. Разработанная методика позволяет возбуждать в
1353	1035	учения видимо не совсем правильна.	правильна.	Мальтус	предполагал что человечество развивается неограниченно то
1354	1715	как нужно было действовать правильно.	правильно.	Капур	отмечает что школьники и или студенты
1355	1261	разумеется блестящая экспедиция Эддингтона превратила	превратила	Эйнштейна	в суперзвезду. Его выводы изменили жизнь
1356	326	генной инженерии не имеет пределов.	пределов.	Александр Панчин	Биолог журналист лауреат премии Просветитель 2016
1357	1128	включала в себя прогнозы предлагавшиеся	предлагавшиеся	Эйнштейном	ранее. Эйнштейну удалось добиться одинакового вида
1358	1408	причинами действий как это предлагал	предлагал	Дэвидсон	. Среди представителей этой группы находятся
1359	1130	Новая версия этого закона предложенная	предложенная	Эйнштейном	и Гроссманом не укладывалась в последовательность
1360	1414	о необходимости переработки модели предложенной	предложенной	Дэвидсоном	. Второй лагерь представлен последователями Витгенштейна
1361	1378	в соответствии с классификацией предложенной	предложенной	Гёстой Эспинг-Андерсеном	выделять три типа государств благосостояния либеральные
1362	1709	идею возможно в шутку предложил	предложил	Алан Тьюринг	сразу после Второй мировой войны еще
1363	1646	А что же нового предложил	предложил	Хокинг	Э.А. Хокинг в своей статье утверждает
1364	1383	начинают смотреть на называемый предмет.	предмет.	Купер	назвал этот принцип привязки движений глаз
1365	1244	конце июля. Из шестнадцати предоставленных	предоставленных	Эддингтоном	снимков только на двух оказалось достаточное
1366	1405	попытку решить эту проблему предпринял	предпринял	Дональд Дэвидсон	. Он попытался переописать интенциональное действие
1367	1249	результаты измерений блестяще подтверждают предсказания	предсказания	Эйнштейна	. Президент Королевского общества Джозеф Джон
1368	1246	12 угловой секунды превысило предсказанное	предсказанное	Эйнштейном	число. 6 ноября 1919 года команда
1369	1245	секунды что согласовывалось с предсказанной	предсказанной	Эйнштейном	цифрой 1 7 угловой секунды. Результаты
1370	610	в том числе на представлении	представлении	Платона	об эйдолоне образе или копии идеи
1371	45	сомневались в правильности концепции представленной	представленной	Стивеном Гулдом	хотя все восхищались самим стилем изложения.
1372	1287	Одну из его версий представляет	представляет	Альфред У Кросби	в своей книге Экологический империализм 1986
1373	1475	которые прочно ассоциируются с предшественником	предшественником	Дарвина	Жаном Батистом Ламарком использование и неиспользование
1374	404	Рис Вильсон . После премии	премии	Ричардсон	прожил еще три десятка лет всегда
1375	0	Из выступления лауреата Нобелевской премии	премии	Ричарда Фейнмана	в Калифорнийском технологическом институте в 1959
1376	713	научных работ лауреат Нобелевской премии.	премии.	Эйнштейн	был действительно гениален а его теория
1377	890	хаоса в европейской традиции приводится	приводится	Гоббсом	но внутри нее он часто рассматривается
1378	148	В этот раз организаторы пригласили	пригласили	Дадли Хершбаха	химия 1986 Эрика Маскина экономика 2007
1379	533	наблюдения по этому поводу принадлежат	принадлежат	Саскии Сассен	. Она пишет о недокументированных мигрантах
1380	849	К слову эта идея принадлежит	принадлежит	Мерабу Мамардашвили	. Насколько русскую философию включающую в
1381	918	лоботомия но пользы не принесла.	принесла.	Лэйнг	много работал над улучшением содержания больных
1382	1162	Герберт Тернер Можно снова принять	принять	Германию	в международное сообщество ослабив нормы международного
1383	1290	европейцам воплощением необузданной дикой природы	природы	Кросби	объяснял историей нашей планеты. После того
1384	1151	Со временем к ним присоединились	присоединились	Эрнест Резерфорд	Ральф Фаулер Поль Дирак все сливки
1385	1723	в клетке. Нынешняя премия присуждена	присуждена	Осуми	с формулировкой за открытие механизма аутофагии
1386	1732	де Дюва и до прихода	прихода	Ёсинори Осуми	почти ничего интересного и не произошло.
1387	61	публикация задерживается по техническим причинам	причинам	Даниил Дондурей	. Террор Война за смысл Алексей
1388	1645	в этом научное сообщество причисляет	причисляет	Хуану Малдацене	из Принстона. Он предсказал так называемую
1389	50	другие исследователи например наш приятель	приятель	Мэтью Уилз	и при этом в их версиях
1390	55	наиболее глубокие подходы к проблеме.	проблеме.	Борис Родоман	- уникальный специалист основатель целого похода
1391	1332	интересно в этом контексте проведенное	проведенное	Джуди Вайцман	исследование группы женщин в Великобритании которые
